name,year,director,actors,rating,no_of_votes,imdb_link
Barry Lyndon,1975,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson",8.0,103015.0,/title/tt0072684/
La haine,1995,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé",8.0,104872.0,/title/tt0113247/
Song of the Sea,2014,Tomm Moore,"David Rawle, Brendan Gleeson",8.0,26028.0,/title/tt1865505/
Sin City,2005,Frank Miller,"Mickey Rourke, Clive Owen",8.0,662041.0,/title/tt0401792/
Kind Hearts and Coronets,1949,Robert Hamer,"Dennis Price, Alec Guinness",8.0,26884.0,/title/tt0041546/
Catch Me If You Can,2002,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks",8.0,536496.0,/title/tt0264464/
Deadpool,2016,Tim Miller,"Ryan Reynolds, Morena Baccarin",8.0,512790.0,/title/tt1431045/
The Revenant,2015,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy",8.0,427499.0,/title/tt1663202/
La battaglia di Algeri,1966,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin",8.0,37849.0,/title/tt0058946/
Dog Day Afternoon,1975,Sidney Lumet,"Al Pacino, John Cazale",8.0,184690.0,/title/tt0072890/
Yip Man,2008,Wilson Yip,"Donnie Yen, Simon Yam",8.0,171297.0,/title/tt1220719/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,"Johnny Depp, Geoffrey Rush",8.0,818413.0,/title/tt0325980/
The Help,2011,Tate Taylor,"Emma Stone, Viola Davis",8.0,322740.0,/title/tt1454029/
The Imitation Game,2014,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley",8.0,480060.0,/title/tt2084970/
The Martian,2015,Ridley Scott,"Matt Damon, Jessica Chastain",8.0,493905.0,/title/tt3659388/
